Tratamento;Tempo_Reacao
Controle;3.641204847626716
Controle;5.987520213117337
Controle;6.225431403624709
Controle;4.947395939805426
Controle;6.816574985477115
Controle;9.043311542584629
Controle;18.97444266165007
Controle;8.063025888020759
Controle;8.404566552726111
Controle;7.11906959564987
Controle;2.8309557977359323
Controle;7.291746282620862
Controle;7.6149628284078235
Controle;25.320669949899077
Controle;6.711480165290974
Controle;8.59150282456042
Controle;7.26191897218336
Controle;4.119208285533791
Controle;13.084278660522068
Controle;10.761409239197
Controle;10.97385881913329
Controle;4.689407644188411
Controle;14.900535553122385
Controle;3.665902189441984
Controle;9.908852474155998
Controle;22.09227086871327
Controle;4.502945946831266
Controle;5.566971196401168
Controle;7.766547143559168
Controle;5.7446108563087135
Controle;3.4030370552923515
Controle;7.646755860735353
Controle;4.344228328835568
Controle;9.363285232792087
Controle;4.665933319994945
Controle;16.03810097755352
Controle;4.994680039196343
Controle;6.29005139696246
Controle;11.097930047097394
Controle;3.9930998809610303
Intervencao;14.613824257685565
Intervencao;34.66443396092799
Intervencao;3.3669706135316346
Intervencao;14.12162184235813
Intervencao;14.997840669886397
Intervencao;22.770328285339467
Intervencao;4.528720418620366
Intervencao;4.236064734171548
Intervencao;18.495977065039906
Intervencao;15.449671462994315
Intervencao;14.885599666345332
Intervencao;16.073284848400032
Intervencao;7.070846632487164
Intervencao;14.66997602298889
Intervencao;15.4013932890021
Intervencao;6.8793135040515745
Intervencao;54.19667766731485
Intervencao;17.797648409228927
Intervencao;4.697155920409519
Intervencao;20.59900733281544
Intervencao;5.585950822721223
Intervencao;22.866379392942495
Intervencao;30.780348886973233
Intervencao;6.3183250248469935
Intervencao;26.32978751478841
Intervencao;16.949269601637813
Intervencao;23.515226041342043
Intervencao;55.558381462824094
Intervencao;10.011050242936014
Intervencao;6.665940597061998
Intervencao;5.979807975338637
Intervencao;6.342999552031281
Intervencao;11.453766552644236
Intervencao;16.005326608268415
Intervencao;15.200869641375677
Intervencao;23.61180028701568
Intervencao;12.309871648065553
Intervencao;38.971369522426926
Intervencao;9.857913497676059
Intervencao;107.35438092984022
