Metodo;Dificuldade;Desempenho
M1;Baixa;31.47693315999082
M1;Baixa;30.34273656237994
M1;Baixa;29.768703435223518
M1;Baixa;29.397792608821423
M1;Baixa;27.042956019265144
M1;Baixa;28.560311583210584
M1;Baixa;29.078722458080424
M1;Baixa;32.11424445243783
M1;Baixa;30.687236579136922
M1;Baixa;26.47391968927453
M1;Baixa;30.64816793878959
M1;Baixa;29.229835439167367
M1;Baixa;28.646155999388082
M1;Baixa;31.223352577681737
M1;Baixa;32.0619990449919
M1;Alta;41.8625602382324
M1;Alta;38.32156495355472
M1;Alta;39.38157524829757
M1;Alta;40.66252686280713
M1;Alta;41.95109025424472
M1;Alta;39.04165152430942
M1;Alta;39.62868204667237
M1;Alta;37.787330051987944
M1;Alta;37.60758675183866
M1;Alta;41.6250516447884
M1;Alta;42.71248005714165
M1;Alta;39.85597975683933
M1;Alta;42.00706579578405
M1;Alta;40.72327205009527
M1;Alta;38.709760490789755
M2;Baixa;37.227912110168276
M2;Baixa;60.760731329319384
M2;Baixa;29.28347921780097
M2;Baixa;61.29287311628012
M2;Baixa;-22.39490208179489
M2;Baixa;46.43805008750448
M2;Baixa;31.740941364763426
M2;Baixa;24.01985299068265
M2;Baixa;31.835215530710045
M2;Baixa;-9.751378292017854
M2;Baixa;25.606562243249762
M2;Baixa;37.14225143023493
M2;Baixa;59.55788089483032
M2;Baixa;19.634595634527052
M2;Baixa;13.830127942136247
M2;Alta;29.96485912830927
M2;Alta;58.30804235404148
M2;Alta;46.57502219319369
M2;Alta;29.404795924659226
M2;Alta;50.26534866226712
M2;Alta;41.941550986960806
M2;Alta;59.372899810657785
M2;Alta;25.958938122452953
M2;Alta;33.44675706804463
M2;Alta;32.15783693735685
M2;Alta;10.729701037357628
M2;Alta;45.922405541291525
M2;Alta;45.221105443597786
M2;Alta;40.102269132849216
M2;Alta;35.308257332497064
