Grupo;Pontuacao
A;54.96714153011233
A;48.61735698828815
A;56.47688538100692
A;65.23029856408026
A;47.658466252766644
A;
A;65.79212815507391
A;57.67434729152909
A;45.30525614065048
A;55.42560043585965
A;45.365823071875376
A;45.34270246429743
A;52.41962271566034
A;30.86719755342202
A;32.75082167486967
A;44.37712470759027
A;39.87168879665576
A;53.142473325952736
A;40.91975924478789
A;35.87696298664709
B;500.0
B;52.74223699513465
B;55.67528204687924
B;40.75251813786544
B;49.556172754748175
B;56.10922589709866
B;43.490064225776976
B;58.75698018345672
B;48.99361310081195
B;52.083062502067236
B;
B;73.52278184508938
B;54.86502775262066
B;44.422890710440996
B;63.225449121031886
B;42.791563500289776
B;57.08863595004755
B;35.403298761202244
B;41.71813951101569
B;56.96861235869123
